offer_id	first_day_exposition	last_day_exposition	last_price	floor	open_plan	rooms	studio	area	kitchen_area	living_area	agent_fee	renovation	offer_type	category_type	unified_address	building_id
2518485327213517313	2018-07-19T00:00:00+03:00	2018-07-28T00:00:00+03:00	15000.0	11	False	1	False	29.0					2	2	Россия, Ленинградская область, Всеволожский район, посёлок Мурино, Воронцовский бульвар, 4	8372601063222427490
6302153685244509818	2018-02-02T00:00:00+03:00	2018-06-22T00:00:00+03:00	3800000.0	7	False	2	False	47.0	9.0	27.0			1	2	Россия, Санкт-Петербург, Пушкинский район, посёлок Шушары, Московское шоссе, 268	4169477236027209849
4842857800036155191	2016-01-19T00:00:00+03:00	2016-04-18T00:00:00+03:00	3000000.0	11	False	1	False	29.0	6.3	16.0		0.0	1	2	Россия, Санкт-Петербург, проспект Маршала Жукова, 18	82158892241765201
3319117213633906944	2016-03-09T00:00:00+03:00	2017-01-30T00:00:00+03:00	2750000.0	3	False	2	False	42.6	5.2	28.4		3.0	1	2	Россия, Санкт-Петербург, Красное Село, проспект Ленина, 53	6535118365670440358
7569506185677372827	2017-06-30T00:00:00+03:00	2018-01-19T00:00:00+03:00	4374600.0	18	False	1	False	63.4					1	2	Россия, Ленинградская область, Всеволожский район, Заневское городское поселение, деревня Кудрово, Европейский проспект, 18к2	7076615050583066163
4962324704640070400	2016-10-30T00:00:00+03:00	2018-02-07T00:00:00+03:00	5400000.0	2	False	3	False	59.3	6.9	37.9		3.0	1	2	Россия, Санкт-Петербург, проспект Славы, 60	135586439760362607
5141797489724372217	2017-03-02T00:00:00+03:00	2017-08-26T00:00:00+03:00	15000.0	10	False	1	False	42.0	10.0	18.0		0.0	2	2	Россия, Санкт-Петербург, территория Горелово, Красносельское шоссе, 54к3	1035767884199113707
6278491819191483854	2017-06-05T00:00:00+03:00	2017-06-10T00:00:00+03:00	24000.0	16	False	1	False	40.0	14.0	13.0		0.0	2	2	Россия, Санкт-Петербург, проспект Испытателей, 8к1	1919944744085276416
5867283855209337293	2015-07-15T00:00:00+03:00	2017-11-01T00:00:00+03:00	5925657.0	16	False	3	False	93.7	16.4	47.4		0.0	1	2	Россия, Санкт-Петербург, Русановская улица, 19к2Б	555990634595234380
4141677276679021185	2018-07-27T00:00:00+03:00	2018-08-20T00:00:00+03:00	7000000.0	22	False	3	False	93.9	16.46	47.24			1	2	Россия, Санкт-Петербург, Русановская улица, 17к1	6563554046625814242
